"Report File:,""E:\rudi\Stick\Repositorys\Nitrokey_Hardware\nitrokey-storage-hardware\V1.3\NitrokeyV13 (Bill Of Materials).csv"""
"Report Written:,""Friday, November 20, 2015"""
"Project Path:,""E:\rudi\Stick\Repositorys\Nitrokey_Hardware\nitrokey-storage-hardware\V1.3\NitrokeyV13.prj"""
"Design Path:,""E:\rudi\Stick\Repositorys\Nitrokey_Hardware\nitrokey-storage-hardware\V1.3\NitrokeyV13.pcb"""
"Design Title:,"""""
"Created:,""09.09.2011 16:00:27"""
"Last Saved:,""20.11.2015 13:58:34"""
"Editing Time:,""18638 min"""
"Units:,""mm (precision 4)"""

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name,""Qty"",""Component"",""Value"",""Package"",""Manufacturer"",""MPN"",""RS Part Number"",""Other Part Number"",""Description"""
"ScCon,""1"",""++CONNECTOR_SC"",""Molex 78646-3001"",""USER"","""","""","""","""","""""
"CONN1,""1"",""++CONNECTOR_SD"",""Molex 104031-0811"",""USER"","""","""","""","""","""""
"X1,""1"",""++CONNECTOR_USB-BUCHSE-A_NEU"",""Keystone Electronics 931"",""++CONNECTOR_USB-BUCHSE-A"","""","""","""","""","""""
"LED1,""1"",""598-8621-207F"",""Dialight 598-8621-207F"",""USER"","""","""","""","""","""""
"XTAL1,""1"",""ABMM2-12.000MHZ-E2-T"",""ABMM2-12.000MHZ-E2-T"",""USER"","""","""","""","""",""ABMM2-16.000MHZ-E2-T"""
"IC1,""1"",""AT32UC3A3256S"",""AT32UC3A3256S-CTUR"",""BGA144-08"","""","""","""","""","""""
"C1,""1"",""C-EUC0603"",""4u7"",""C0603"","""","""","""","""",""CAPACITOR, European symbol"""
"C16,""1"",""C-EUC0603"",""4u7"",""C0603"","""","""","""","""",""CAPACITOR, European symbol"""
"C20,""1"",""C-EUC0603"",""4u7"",""C0603"","""","""","""","""",""CAPACITOR, European symbol"""
"C17,""1"",""C-EUC0603"",""15p"",""C0603"","""","""","""","""",""CAPACITOR, European symbol"""
"C18,""1"",""C-EUC0603"",""15p"",""C0603"","""","""","""","""",""CAPACITOR, European symbol"""
"C19,""1"",""C-EUC0603K"",""10p"",""C0603K"","""","""","""","""",""CAPACITOR, European symbol"""
"C9,""1"",""C-EUC0603K"",""100n"",""C0603K"","""","""","""","""",""CAPACITOR, European symbol"""
"C13,""1"",""C-EUC0603K"",""100n"",""C0603K"","""","""","""","""",""CAPACITOR, European symbol"""
"C10,""1"",""C-EUC0603K"",""100n"",""C0603K"","""","""","""","""",""CAPACITOR, European symbol"""
"C11,""1"",""C-EUC0603K"",""100n"",""C0603K"","""","""","""","""",""CAPACITOR, European symbol"""
"C12,""1"",""C-EUC0603K"",""100n"",""C0603K"","""","""","""","""",""CAPACITOR, European symbol"""
"C14,""1"",""C-EUC0603K"",""100n"",""C0603K"","""","""","""","""",""CAPACITOR, European symbol"""
"C15,""1"",""C-EUC0603K"",""100n"",""C0603K"","""","""","""","""",""CAPACITOR, European symbol"""
"C2,""1"",""C-EUC0805"",""47uf"",""C1206"","""","""","""","""",""CAPACITOR, European symbol"""
"C3,""1"",""C-EUC0805"",""47uf"",""C1206"","""","""","""","""",""CAPACITOR, European symbol"""
"C4,""1"",""C-EUC0805"",""47uf"",""C1206"","""","""","""","""",""CAPACITOR, European symbol"""
"C5,""1"",""C-EUC0805"",""47uf"",""C1206"","""","""","""","""",""CAPACITOR, European symbol"""
"C6,""1"",""C-EUC0805"",""47uf"",""C1206"","""","""","""","""",""CAPACITOR, European symbol"""
"J8,""1"",""Passermarke"","""",""USER"","""","""","""","""","""""
"J9,""1"",""Passermarke"","""",""USER"","""","""","""","""","""""
"J10,""1"",""Passermarke"","""",""USER"","""","""","""","""","""""
"J11,""1"",""Passermarke"","""",""USER"","""","""","""","""","""""
"R9,""1"",""R-EU_R0603"",""2k2"",""R0603"","""","""","""","""",""RESISTOR, European symbol"""
"R8,""1"",""R-EU_R0603"",""6k8"",""R0603"","""","""","""","""",""RESISTOR, European symbol"""
"R3,""1"",""R-EU_R0603"",""10"",""R0603"","""","""","""","""",""RESISTOR, European symbol"""
"R1,""1"",""R-EU_R0603"",""22"",""R0603"","""","""","""","""",""RESISTOR, European symbol"""
"R2,""1"",""R-EU_R0603"",""22"",""R0603"","""","""","""","""",""RESISTOR, European symbol"""
"R5,""1"",""R-EU_R0603"",""220"",""R0603"","""","""","""","""",""RESISTOR, European symbol"""
"R6,""1"",""R-EU_R0603"",""220"",""R0603"","""","""","""","""",""RESISTOR, European symbol"""
"R4,""1"",""R-EU_R0603"",""220k"",""R0603"","""","""","""","""",""RESISTOR, European symbol"""
"IC3,""1"",""TLV1117-33CDCY"",""TLV1117-33CDCY"",""---MJ_SOT223"","""","""","""","""","""""
"IC2,""1"",""TPD2S017"",""TPD2S017DBVR"",""USER"","""",""TPD2S017DBVR"","""","""","""""
